slug,title_ru,ru,en,fr,es,ar,zh
index,Ocean Fund,published,published,published,published,published,published
mission,Миссия / Mission,published,published,published,published,published,published
roadmap,Дорожная карта / Roadmap,published,published,published,published,published,published
research-directions,Исследовательские направления / Research Directions,published,published,published,published,published,published
data-sources,Источники данных / Data Sources,published,published,published,published,published,published
partners,Партнерства / Partnerships,published,published,published,published,published,published
events,События / Events,published,published,published,published,published,published
glossary,Глоссарий / Glossary,published,published,published,published,published,published
governance,Управление / Governance,published,published,published,published,published,published
ocean-intelligence-system,Система океанической разведки / Ocean Intelligence System,published,published,published,published,published,published
github-showcase,GitHub Showcase / Оформление GitHub,published,published,published,published,published,published
